work_item,target,action,position,other,confidence,frequency
右サイドガードステイ2カ所腐食部分補強溶接,ガード,溶接,右,サイドステイ2カ所腐食部分補強,100,1
右突っ張りステイ2本切り替え,,切り替え,右,突っ張りステイ2本,60,1
左ウィングキャッチ曲がり直し,キャッチ,直し,左,ウィング曲がり,100,1
左サイドガードステイ腐食部分補強取付溶接2カ所,ガード,溶接,左,サイドステイ腐食部分補強取付2カ所,100,1
右サイドガードコーナーパイプ製作切替加工1か所,パイプ,製作,右,サイドガードコーナー切替加工1か所,100,1
ウィングキャッチ受け取り付け,キャッチ,取り付け,,ウィング受け,80,1
右ウィングウェザーストリップゴム交換,ゴム,交換,右,ウィングウェザーストリップ,100,1
コボレーン押え破損部分応急処置,,,,,0,1
キャッチ修正加工,キャッチ,加工,,修正,80,1
プラットホームマス締め点検,,,,,0,1
リヤナンバーステイ左右交換,,交換,左,リヤナンバーステイ右,60,1
反射板ステイ曲がり直し,反射板,直し,,ステイ曲がり,80,1
サイドガード左前コーナーパイプ製作切替加工,パイプ,製作,左,サイドガード前コーナー切替加工,100,1
左右リヤ反射板取替,反射板,取替,左,右リヤ,100,1
ブラケット修正折損溶接,ブラケット,溶接,,修正折損,80,1
オイルミスト,,,,,0,1
ブレーキライニング4枚張替,,張替,,ブレーキライニング4枚,40,1
庫内ジョルダーストッパー曲がり直し,,直し,内,庫ジョルダーストッパー曲がり,60,1
ステン溶接,,溶接,,ステン,40,1
左ウィングキャッチ取替,キャッチ,取替,左,ウィング,100,1
左ステップカバー脱着修正,ステップ,脱着,左,カバー修正,100,1
助手席取り外し,,取り外し,外,助手席取りし,60,1
エンジン内,,,内,エンジン,20,1
フレーム間清掃作業,,,,,0,1
右三角リフレクターステイ製作取付加工,,製作,右,三角リフレクターステイ取付加工,60,1
燃料タンクバンド2本応急製作取替加工,タンク,取替,,燃料バンド2本応急製作加工,80,1
カプラー点検,,,,,0,1
左右ウィングルーフリベット打ち替え20本,ウィング,,左,右ルーフリベット打ち替え20本,60,1
燃料サブタンク脱着,タンク,脱着,,燃料サブ,80,1
カプラーロックスイッチ取替加工,,取替,,カプラーロックスイッチ加工,40,1
配線脱着,,脱着,,配線,40,1
燃料タンク応急取り外し,タンク,取り外し,外,燃料応急取りし,100,1
エアードライヤーカートリッジ交換,,交換,,エアードライヤーカートリッジ,40,1
上下2個インターロックスイッチ脱着,,脱着,上,下2個インターロックスイッチ,60,1
アーム2本脱着延長加工,,脱着,,アーム2本延長加工,40,1
架台ステー曲がり直し,ステー,直し,,架台曲がり,80,1
中央クロスメンバー2本左右亀裂溶接,メンバー,溶接,左,中央クロス2本右亀裂,100,1
補強プレート4枚取付加工溶接,,溶接,,補強プレート4枚取付加工,40,1
インターロックストッパーマーキング加工,,加工,,インターロックストッパーマーキング,40,1
左煽りキャッチ脱着調整,キャッチ,脱着,左,煽り調整,100,1
左マフラーステイ脱着,,脱着,左,マフラーステイ,60,1
鈑金修理,,修理,,鈑金,40,1
左煽り蝶番修理,,修理,左,煽り蝶番,60,1
左車高灯ブラケット取り換え加工,ブラケット,加工,左,車高灯取り換え,100,1
右後ろ作業灯ステー脱着,ステー,脱着,右,後ろ作業灯,100,1
補強プレート取付ステン溶接,,溶接,,補強プレート取付ステン,40,1
右サイドガードステー折損,ステー,,右,サイドガード折損,60,1
EGR取付ボルト取り外し,,取付,外,EGRボルト取りし,60,1
ブレーキシューアンカーピンストッパープレート溶接修理,,修理,,ブレーキシューアンカーピンストッパープレート溶接,40,1
インタークーラー折れ込みボルト取外し,,,外,インタークーラー折れ込みボルト取し,20,1
アウトリガー左右補強パイプ折損,パイプ,,左,アウトリガー右補強折損,60,1
ツイストロック点検,,,,,0,1
リヤバンパー左右ブラケット鈑金修理,バンパー,修理,左,リヤ右ブラケット鈑金,100,1
バックランプステイ切断付替え加工,ランプ,切断,,バックステイ付替え加工,80,1
左バス型サイドガードステップボルト2本取替加工,ステップ,取替,左,バス型サイドガードボルト2本加工,100,1
セイコーラック4本取替,,取替,,セイコーラック4本,40,1
左煽りキャッチフック製作取付加工,キャッチ,製作,左,煽りフック取付加工,100,1
右キャッチ曲がり直し,キャッチ,直し,右,曲がり,100,1
右後ろセイコーラック取替加工,,取替,右,後ろセイコーラック加工,60,1
煽りスケット4個調整,,調整,,煽りスケット4個,40,1
ドライバーシートリクライニング応急修理,シート,修理,,ドライバーリクライニング応急,80,1
ツイストロックハンドル製作取替加工,ハンドル,取替,,ツイストロック製作加工,80,1
ステップバンパー鈑金,バンパー,鈑金,,ステップ,80,1
右フィニシャー,,,右,フィニシャー,20,1
サイドステイ取替,,取替,サイド,ステイ,60,1
再使用加工,,加工,,再使用,40,1
左右サイドガード突っ張り棒6本切り替え加工溶接,ガード,溶接,左,右サイド突っ張り棒6本切り替え加工,100,1
左ケーブルガード脱着加工,ガード,脱着,左,ケーブル加工,100,1
右ケーブルガード脱着加工,ガード,脱着,右,ケーブル加工,100,1
プラットホーム点検,,,,,0,1
ブッシュ張替加工,,加工,,ブッシュ張替,40,1
鳥居中板脱着,,脱着,,鳥居中板,40,1
破損部分張替加工,,加工,,破損部分張替,40,1
ウィンドシールドロアパネル脱着,パネル,脱着,ロア,ウィンドシールド,100,1
右コボレーンシート脱着リベット打ち替え加工,シート,脱着,右,コボレーンリベット打ち替え加工,100,1
ステンコボレーン枠折損ステン溶接仕上げ補強製作取り付け,,溶接,上,ステンコボレーン枠折損ステン仕げ補強製作取り付け,60,1
セイコーラック取替4ケ,,取替,,セイコーラック4ケ,40,1
ウィングルーフ点検,ウィング,,,ルーフ点検,40,1
センターシート前後補強ステッカー貼り付け,シート,,前,センター後補強ステッカー貼り付け,60,1
ルーフ枠応急コーキング処理,,,,,0,1
ネジ山修理,,修理,,ネジ山,40,1
左フェンダーマッドガード交換,フェンダー,交換,左,マッドガード,100,1
ドライバーシートリクライニングねじ山修正ボルト2本取付,シート,取付,,ドライバーリクライニングねじ山修正ボルト2本,80,1
左ウィング開閉スイッチブラケット製作移設加工,ブラケット,製作,左,ウィング開閉スイッチ移設加工,100,1
右ドアストリップゴム脱着修正,ドア,脱着,右,ストリップゴム修正,100,1
踊り場ボルト2本折れ込み修理,,修理,,踊り場ボルト2本折れ込み,40,1
踊り場縞鋼板,鋼板,,,踊り場縞,40,1
フレーム間ステイ脱着,,脱着,,フレーム間ステイ,40,1
ボルト2本取付,,取付,,ボルト2本,40,1
ドライバーシートリクライニングレバースプリング交換,シート,交換,,ドライバーリクライニングレバースプリング,80,1
バンド3本,,,,,0,1
中間繋ぎホース取替,ホース,取替,,中間繋ぎ,80,1
