work_item,target,action,position,other,confidence,frequency
スカッフプレート脱着腐食ビス取替加工,,脱着,,スカッフプレート腐食ビス取替加工,40,1
クロスメンバー亀裂カット溶接,メンバー,溶接,,クロス亀裂カット,80,1
左後ろセイコーラック取替加工,,取替,左,後ろセイコーラック加工,60,1
持ち込みマフラー分解脱着,,脱着,,持ち込みマフラー分解,40,1
UDPC,,,,,0,1
DOC清掃付替え加工,,加工,,DOC清掃付替え,40,1
折れ込みボルト修理4本,,修理,,折れ込みボルト4本,40,1
リヤゲート嚙み込み修理,,修理,,リヤゲート嚙み込み,40,1
ダンプキャッチ2個分解修理,キャッチ,修理,,ダンプ2個分解,80,1
キャッチロックボールジョイント取付加工溶接,キャッチ,溶接,,ロックボールジョイント取付加工,80,1
ポール2本曲がり直し亀裂溶接,,溶接,,ポール2本曲がり直し亀裂,40,1
枠骨異音点検ボルト取付加工３ヶ所,,加工,,枠骨異音点検ボルト取付３ヶ所,40,1
左右スケット分解調整4ヶ所,,調整,左,右スケット分解4ヶ所,60,1
駐車ブレーキブラケット亀裂2ヵ所カット溶接,ブラケット,溶接,,駐車ブレーキ亀裂2ヵ所カット,80,1
ボルト嚙み込み修理,,修理,,ボルト嚙み込み,40,1
燃料タンク2個脱着入替,タンク,脱着,,燃料2個入替,80,1
付属品付替え,,付替,,付属品え,40,1
右ドアミラーアーム脱着ボルト取り替え加工,ドア,脱着,右,ミラーアームボルト取り替え加工,100,1
左右スケット4個調整,,調整,左,右スケット4個,60,1
ドライバーシートブラケット交換,ブラケット,交換,,ドライバーシート,80,1
エキゾーストパイプ折損修正溶接,パイプ,溶接,,エキゾースト折損修正,80,1
クロスメンバー亀裂溶接,メンバー,溶接,,クロス亀裂,80,1
右ドアパネル内側鈑金,ドア,鈑金,右,パネル内側,100,1
左サイドガード折損部分切替溶接,ガード,溶接,左,サイド折損部分切替,100,1
フラッシャーステイ切断付替え加工,,切断,,フラッシャーステイ付替え加工,40,1
右後ろウィングキャッチ受け,キャッチ,,右,後ろウィング受け,60,1
コーナーガード取り替え加工,ガード,加工,,コーナー取り替え,80,1
バッテリー縞板キャッチ取替調整,キャッチ,取替,,バッテリー縞板調整,80,1
リヤナンバーブラケット折損溶接,ブラケット,溶接,,リヤナンバー折損,80,1
右後ろ煽りスケット応急取外し,,,右,後ろ煽りスケット応急取外し,20,1
左ドアー内張り,ドア,,左,ー内張り,60,1
サッシュ,,,,,0,1
アウターハンドル脱着,ハンドル,脱着,アウター,,100,1
安全ガラスアウターカバー脱着異音防止加工,ガラス,脱着,アウター,安全カバー異音防止加工,100,1
右コボレーンシャフト曲がり直し,,直し,右,コボレーンシャフト曲がり,60,1
右ウイング枠骨ステー腐食部分切断付け替え溶接,ステー,溶接,右,ウイング枠骨腐食部分切断付け替え,100,1
補強リブ制作取付,,取付,,補強リブ制作,40,1
枠曲がり直し,,直し,,枠曲がり,40,1
枠腐食部分切断フラットバー切替溶接,,溶接,,枠腐食部分切断フラットバー切替,40,1
リベット打ち換え,,リベット打ち換え,,,40,1
アンダーミラー点検応急貼付,ミラー,,,アンダー点検応急貼付,40,1
タイコマフラー後ろ差し込み口鈑金,,鈑金,後,タイコマフラーろ差し込み口,60,1
腐食3ヶ所穴埋め溶接,,溶接,,腐食3ヶ所穴埋め,40,1
右前煽りキャッチ脱着フック制作取付加工溶接,キャッチ,脱着,右,前煽りフック制作取付加工溶接,100,1
床板修正,,修正,,床板,40,1
ウイング蝶番グリスアップ,,,,,0,1
右観音扉下側中板切替ステー取付加工,ステー,加工,右,観音扉下側中板切替取付,100,1
キャッチシャフト,キャッチ,,,シャフト,40,1
開き止め脱着付替え加工,,脱着,,開き止め付替え加工,40,1
裏鋼板切替接着加工,鋼板,加工,,裏切替接着,80,1
コーキング入替加工,,加工,,コーキング入替,40,1
左踊場脱着折れ込み取替加工２本,,脱着,左,踊場折れ込み取替加工２本,60,1
踊場枠脱着,,脱着,,踊場枠,40,1
アウトリガーブラケット曲がり直し,ブラケット,直し,,アウトリガー曲がり,80,1
ブラケット２本取替,ブラケット,取替,,２本,80,1
左アッパーステップ,ステップ,,左,アッパー,60,1
ステップウォール脱着修正,ステップ,脱着,,ウォール修正,80,1
左右後ろ煽りドアキャッチ取替,ドア,取替,左,右後ろ煽りキャッチ,100,1
左右バンパーステー脱着曲がり直し,バンパー,脱着,左,右ステー曲がり直し,100,1
バンパー取り付け部引出し鈑金,バンパー,取り付け,,部引出し鈑金,80,1
煽りドアーキャッチ点検ナット取付,ドア,取付,,煽りーキャッチ点検ナット,80,1
ウイングキャッチ,キャッチ,,,ウイング,40,1
煽りドアーキャッチ塗装取替,ドア,取替,,煽りーキャッチ塗装,80,1
左右泥除けゴム脱着ブラケット切断脱着曲がり直し付け替え溶接,ブラケット,脱着,左,右泥除けゴム切断脱着曲がり直し付け替え溶接,100,1
左右泥除けプレート亀裂溶接,,溶接,左,右泥除けプレート亀裂,60,1
鋼板ブッシュゴム張替加工,ゴム,加工,,鋼板ブッシュ張替,80,1
UDマーク脱着,,脱着,,UDマーク,40,1
両面テープ貼替加工,,加工,,両面テープ貼替,40,1
左右キャスターストッパー取付,,取付,左,右キャスターストッパー,60,1
左右サブフレームブラケット亀裂カット溶接,ブラケット,溶接,左,右サブフレーム亀裂カット,100,1
マーカーランプ取付ボルト切断加工,ランプ,切断,,マーカー取付ボルト加工,80,1
支柱パイプ曲がり直し鈑金,パイプ,直し,,支柱曲がり鈑金,80,1
床板右腐食切断張替加工,,切断,右,床板腐食張替加工,60,1
レギュレーター,,,,,0,1
蝶番,,,,,0,1
右コーナーパネル取替取付部分引出し修正,パネル,取替,右,コーナー取付部分引出し修正,100,1
泥除けゴム化粧板脱着付替え加工,ゴム,脱着,,泥除け化粧板付替え加工,80,1
リヤゲートヒンジ部分腐食切替加工溶接,ヒンジ,溶接,,リヤゲート部分腐食切替加工,80,1
ジャバラパイプ下側穴埋め溶接,パイプ,溶接,下,ジャバラ側穴埋め,100,1
シートブラケット脱着,ブラケット,脱着,,シート,80,1
ギヤボックス切断脱着溶接,,脱着,,ギヤボックス切断溶接,40,1
ギヤ嚙み込み修理,,修理,,ギヤ嚙み込み,40,1
CIタップボルト45本,,,,,0,1
コーキング１本,,,,,0,1
右サイドガード折損部修正溶接5ヶ所,ガード,溶接,右,サイド折損部修正5ヶ所,100,1
左サイドガードステー曲がり直し鈑金,ステー,直し,左,サイドガード曲がり鈑金,100,1
20あパイプメートル1本切り替え加工溶接,パイプ,溶接,,20あメートル1本切り替え加工,80,1
折損部2カ所修正溶接,,溶接,,折損部2カ所修正,40,1
キャッチ塗装,キャッチ,塗装,,,80,1
燃料タンクバンド4本取替,タンク,取替,,燃料バンド4本,80,1
ジャバラパイプ下側腐食部分パイプ切替加工溶接,パイプ,溶接,下,ジャバラ側腐食部分パイプ切替加工,100,1
クッションゴム取替貼付２枚,ゴム,取替,,クッション貼付２枚,80,1
右メッキコーナーベゼル取替,,取替,右,メッキコーナーベゼル,60,1
クッションステー取替,ステー,取替,,クッション,80,1
左ファーストステップブラケット修正,ステップ,修正,左,ファーストブラケット,100,1
ステップ２枚脱着研磨,ステップ,脱着,,２枚研磨,80,1
ウィング支柱アルミカバー脱着曲がり直しリベット打ち替え2本,カバー,脱着,,ウィング支柱アルミ曲がり直しリベット打ち替え2本,80,1
ステンステー穴掘り6ミリリベット打ち３本,ステー,,,ステン穴掘り6ミリリベット打ち３本,40,1
工具箱大型へ取替加工,,取替,,工具箱大型へ加工,40,1
ブラケット３本製作取付溶接,ブラケット,溶接,,３本製作取付,80,1
床鉄板取付加工,,加工,,床鉄板取付,40,1
牽引フック取外し,,,外,牽引フック取し,20,1
右フラッシャーランプ,ランプ,,右,フラッシャー,60,1
右フォグランプ取替,ランプ,取替,右,フォグ,100,1
サイドガードコーナーパイプ1本製作切替溶接,パイプ,溶接,サイド,ガードコーナー1本製作切替,100,1
パイプ曲がり直し,パイプ,直し,,曲がり,80,1
パイプ亀裂溶接,パイプ,溶接,,亀裂,80,1
左中古リヤフェンダー穴掘り取替加工,フェンダー,取替,左,中古リヤ穴掘り加工,100,1
リヤナンバー灯取替ステー曲がり直し,ステー,取替,,リヤナンバー灯曲がり直し,80,1
右サイドガード折損溶接4ヶ所,ガード,溶接,右,サイド折損4ヶ所,100,1
蝶番修正ボルト取替加工３ヶ所,,取替,,蝶番修正ボルト加工３ヶ所,40,1
右リア泥除けゴム取替,ゴム,取替,右,リア泥除け,100,1
右ドアー応急建付け調整,ドア,調整,右,ー応急建付け,100,1
ストライカー応急引出し修正,,修正,,ストライカー応急引出し,40,1
ドアヒンジ応急曲がり直し,ドア,直し,,ヒンジ応急曲がり,80,1
インターロックスイッチ脱着スイッチレバー延長加工,,脱着,,インターロックスイッチスイッチレバー延長加工,40,1
リヤゲート亀裂カットステン溶接10ヶ所,,溶接,,リヤゲート亀裂カットステン10ヶ所,40,1
右観音扉ストリップゴム接着貼付,ゴム,,右,観音扉ストリップ接着貼付,60,1
煽りドアステンキャッチ傷研磨仕上げ,ドア,研磨,上,煽りステンキャッチ傷仕げ,100,1
右サイドガード2本,ガード,,右,サイド2本,60,1
コーナーカバー2個取替2個脱着付替え加工,カバー,脱着,,コーナー2個取替2個付替え加工,80,1
歯止め入れ付替,,付替,,歯止め入れ,40,1
リヤ泥除けゴム取替3枚･フェンダー脱着･ステー曲がり直し･化粧板付替え切断加工,フェンダー,脱着,,リヤ泥除けゴム取替3枚･･ステー曲がり直し･化粧板付替え切断加工,80,1
右ファーストステップ脱着･ステー脱着修正,ステップ,脱着,右,ファースト･ステー脱着修正,100,1
左右アウトリガー溶接ブラケット切断取替加工,ブラケット,取替,左,右アウトリガー溶接切断加工,100,1
戸当たりゴム取替1個,ゴム,取替,,戸当たり1個,80,1
ワッシャー製作１枚,,製作,,ワッシャー１枚,40,1
溶接ナット切断仕上2カ所,,溶接,上,ナット切断仕2カ所,60,1
右フレームリヤバンパーステー取り付け部分曲がり直し,バンパー,取り付け,右,フレームリヤステー部分曲がり直し,100,1
左前支柱折損部修正補強プレート制作取付加工,,加工,左,前支柱折損部修正補強プレート制作取付,60,1
左右前補強ブラケット亀裂溶接,ブラケット,溶接,左,右前補強亀裂,100,1
左中央ウィングドアキャッチ切断,ドア,切断,左,中央ウィングキャッチ,100,1
型違いキャッチ取付溶接,キャッチ,溶接,,型違い取付,80,1
反射板脱着曲がり直し付替え加工,反射板,脱着,,曲がり直し付替え加工,80,1
左サイドガードステー折損部2カ所修正溶接,ステー,溶接,左,サイドガード折損部2カ所修正,100,1
リヤ床枠中央右曲げ鋼板製作切替加工溶接,鋼板,溶接,右,リヤ床枠中央曲げ製作切替加工,100,1
テールランプ穴切断加工,ランプ,切断,,テール穴加工,80,1
ナンバー灯移設ブラケット製作取付溶接,ブラケット,溶接,,ナンバー灯移設製作取付,80,1
床枠塗装配線穴政策う,,塗装,,床枠配線穴政策う,40,1
左観音扉下側枠ゴム取付加工,ゴム,加工,左,観音扉下側枠取付,100,1
右コーナーパネル脱着曲がり直しステー折損溶接,パネル,脱着,右,コーナー曲がり直しステー折損溶接,100,1
左サイドガードピン取付,ガード,取付,左,サイドピン,100,1
躍場右後ろネジ山修正ボルト取替加工３ヶ所,,取替,右,躍場後ろネジ山修正ボルト加工３ヶ所,60,1
レベリングセンサー,センサー,,,レベリング,40,1
左バンパーステー取替,バンパー,取替,左,ステー,100,1
右ステー脱着修正,ステー,脱着,右,修正,100,1
左前ステンフェンダー脱着,フェンダー,脱着,左,前ステン,100,1
鳥居前左右2カ所フック製作取付溶接,,溶接,左,鳥居前右2カ所フック製作取付,60,1
Uバンド切断取替,,取替,,Uバンド切断,40,1
右ドア内張り脱着,ドア,脱着,右,内張り,100,1
インナーハンドル取替,ハンドル,取替,インナー,,100,1
ドア健付け調整,ドア,調整,,健付け,80,1
左後ろフェンダー脱着リベット打ち替え加工3本ボルト２本取替（リベット,フェンダー,脱着,左,後ろリベット打ち替え加工3本ボルト２本取替（リベット,100,1
ボルト込み）,,,,,0,1
左前右後ろアーム亀裂カット溶接2カ所,,溶接,左,前右後ろアーム亀裂カット2カ所,60,1
メンバー反射板取付腐食部切断ステー制作取付溶接,ステー,溶接,,メンバー反射板取付腐食部切断制作取付,80,1
ナット側破損部切断ナット取付溶接,,溶接,,ナット側破損部切断ナット取付,40,1
アピトン床板2枚,,,,,0,1
ナット側破損部切断,,切断,,ナット側破損部,40,1
ナット取付加工溶接,,溶接,,ナット取付加工,40,1
8ミリボルトASSY2本,,,,,0,1
5ミリボルトASSY2本,,,,,0,1
丸形リフレクター1枚（込み）,,,,,0,1
滑車左上下ガイドレール2本10ミリカット仕上,レール,,左,滑車上下ガイド2本10ミリカット仕上,60,1
燃料タンク2個取替,タンク,取替,,燃料2個,80,1
バンド4本取替,,取替,,バンド4本,40,1
リヤバンパー折損部切断修正取付溶接,バンパー,溶接,,リヤ折損部切断修正取付,80,1
左ナンバー灯ASSY取替,,取替,左,ナンバー灯ASSY,60,1
左右ガスダンバー取替,,取替,左,右ガスダンバー,60,1
ホースクランプ脱着,ランプ,脱着,,ホースク,80,1
出張費,,,,,0,1
左右オートグリスホース４本脱着ニップル固定板製作取付2枚,ホース,脱着,左,右オートグリス４本ニップル固定板製作取付2枚,100,1
タンクブラケット2本穴掘り加工取替,ブラケット,取替,,タンク2本穴掘り加工,80,1
リヤ鋼板全面亀裂カット溶接,鋼板,溶接,,リヤ全面亀裂カット,80,1
溶接部錆止め塗装,,溶接,,部錆止め塗装,40,1
右工具箱ステー補強材取付溶接2ヵ所,ステー,溶接,右,工具箱補強材取付2ヵ所,100,1
作業部錆止め黒塗装,,塗装,,作業部錆止め黒,40,1
