work_item,target,action,position,other,confidence,frequency
幌骨差込ブラケット折損パイプ取付溶接,ブラケット,溶接,,幌骨差込折損パイプ取付,80,1
6ミリリベット打ち３本,,,,,0,1
左リアフェンダー取替,フェンダー,取替,左,リア,100,1
アーチゴム,ゴム,,,アーチ,40,1
泥除けゴム付替え加工,ゴム,加工,,泥除け付替え,80,1
塗料製作,,製作,,塗料,40,1
錆止め,,,,,0,1
シンナー,,,,,0,1
硬化剤一式,,,,,0,1
エンジンリアカバー脱着8㎜ボルト2本取替,カバー,脱着,リア,エンジン8㎜ボルト2本取替,100,1
折損ステー取付リブ入れ溶接,ステー,溶接,,折損取付リブ入れ,80,1
右前ウィングステンキャッチ受け脱着曲がり直し鈑金,キャッチ,脱着,右,前ウィングステン受け曲がり直し鈑金,100,1
ボルト2本ASSY取替,,取替,,ボルト2本ASSY,40,1
バックプレート脱着,,脱着,,バックプレート,40,1
スタンション角パイプ2本取付溶接,パイプ,溶接,,スタンション角2本取付,80,1
左右フック２個取付溶接,,溶接,左,右フック２個取付,60,1
リヤバンパーASSY取替,バンパー,取替,,リヤASSY,80,1
左泥除けゴム取替,ゴム,取替,左,泥除け,100,1
ステー脱着応急曲がり直し,ステー,脱着,,応急曲がり直し,80,1
左サイドガードステー引出し鈑金,ステー,引出し,左,サイドガード鈑金,100,1
ステー折損部修正取付溶接,ステー,溶接,,折損部修正取付,80,1
左煽りドアー前後2枚ASSY分解取替蝶番付替え加工,ドア,取替,左,煽りー前後2枚ASSY分解蝶番付替え加工,100,1
スケット２個脱着付替え加工,,脱着,,スケット２個付替え加工,40,1
左右ステー取替一式,ステー,取替,左,右一式,100,1
右煽りドアスケットスプリング調整２個,ドア,調整,右,煽りスケットスプリング２個,100,1
右サイドガードステー折損部修正リブ入れ溶接,ステー,溶接,右,サイドガード折損部修正リブ入れ,100,1
サイドガード折損部溶接一式,ガード,溶接,サイド,折損部一式,100,1
左右中古アーチゴムスプリング鉄板穴掘り12カ所,ゴム,,左,右中古アーチスプリング鉄板穴掘り12カ所,60,1
アーチゴム2枚取替加工,ゴム,取替,,アーチ2枚加工,80,1
延長ステー左右取付,ステー,取付,左,延長右,100,1
コンクリート清掃,,,,,0,1
右前ウィングキャッチ受けレール破損部分曲げ鋼板取付,キャッチ,取付,右,前ウィング受けレール破損部分曲げ鋼板,100,1
アルミステー製作取替加工,ステー,取替,,アルミ製作加工,80,1
右テールランプ取替ステー曲がり直し,ランプ,取替,右,テールステー曲がり直し,100,1
右テールランプブラケット曲がり直し,ランプ,直し,右,テールブラケット曲がり,100,1
中古フロントリッド取替,,取替,フロント,中古リッド,60,1
UDマーク取替加工,,取替,,UDマーク加工,40,1
リッド部品脱着付替え,,脱着,,リッド部品付替え,40,1
左サイドガード折損溶接3か所,ガード,溶接,左,サイド折損3か所,100,1
左右リヤフェンダー腐食部分錆落とし補修テープ貼替,フェンダー,補修,左,右リヤ腐食部分錆落としテープ貼替,100,1
左右スケット脱着アーム取替加工,,脱着,左,右スケットアーム取替加工,60,1
左煽り蝶番取替,,取替,左,煽り蝶番,60,1
左右通しボルト型スケット3個取替,,取替,左,右通しボルト型スケット3個,60,1
横根太ステー脱着,ステー,脱着,,横根太,80,1
右後スケット取替,,取替,右,後スケット,60,1
反射板4枚位置替え穴掘り取付加工,反射板,加工,,4枚位置替え穴掘り取付,80,1
廃棄反射板2枚取外し,反射板,,外,廃棄2枚取し,60,1
ウィングドアー中板3枚脱着,ドア,脱着,,ウィングー中板3枚,80,1
室内灯脱着,,脱着,内,室灯,60,1
右ウィング幌破損部分表裏補修テープ貼付,ウィング,補修,右,幌破損部分表裏テープ貼付,100,1
リターンスプリング脱着固定加工,,脱着,,リターンスプリング固定加工,40,1
マフラーカバー取替,カバー,取替,,マフラー,80,1
右コーナーランプ脱着加工,ランプ,脱着,右,コーナー加工,100,1
右前ピラー応急引出し修正,,修正,右,前ピラー応急引出し,60,1
荷台上段レール修正溶接仕上げ,レール,溶接,上,荷台段修正仕上げ,100,1
右後ろセイコーラックアームピン応急取付,,取付,右,後ろセイコーラックアームピン応急,60,1
雨漏れ点検,,,,,0,1
センターシート前後補修修理,シート,修理,前,センター後補修,100,1
鳥居コーキング処理,,,,,0,1
ホースステー切断リブ制作取付溶接,ステー,溶接,,ホース切断リブ制作取付,80,1
左ステップカバー取替,ステップ,取替,左,カバー,100,1
シートブラケット脱着折損部修正取付加工溶接,ブラケット,脱着,,シート折損部修正取付加工溶接,80,1
反射板曲がり直し取付加工,反射板,加工,,曲がり直し取付,80,1
左後ろスケットアーム取替加工,,取替,左,後ろスケットアーム加工,60,1
左前スケットアーム溶接,,溶接,左,前スケットアーム,60,1
リベット追加加工,,加工,,リベット追加,40,1
エアーフィルターステー取替,ステー,取替,,エアーフィルター,80,1
腐食ボルト取外し加工,,加工,外,腐食ボルト取し,60,1
ボデーリヤパネル下側腐食部分切替加工溶接,パネル,溶接,下,ボデーリヤ側腐食部分切替加工,100,1
錆落とし塗装,,塗装,,錆落とし,40,1
ジャンパーソケットコネクター嚙み込み脱着2本取替,,脱着,,ジャンパーソケットコネクター嚙み込み2本取替,40,1
左センタースロットルキャッチ取替嚙み込みボルト取外し加工,キャッチ,取替,左,センタースロットル嚙み込みボルト取外し加工,100,1
タイコマフラーブラケット脱着修正,ブラケット,脱着,,タイコマフラー修正,80,1
キャブ雨漏れ点検,,,,,0,1
エアサスコネクターボックス脱着,,脱着,,エアサスコネクターボックス,40,1
ブラケット脱着折損部修正補強プレート取付溶接,ブラケット,脱着,,折損部修正補強プレート取付溶接,80,1
右前床枠ストッパー切断鈑金加工溶接,,溶接,右,前床枠ストッパー切断鈑金加工,60,1
左右スケット取替2個,,取替,左,右スケット2個,60,1
横根太折れ込みボルト取替加工２本,,取替,,横根太折れ込みボルト加工２本,40,1
ウィングセンターシート前側破損部分補修テープ貼付2枚コーキング処理,シート,補修,前,ウィングセンター側破損部分テープ貼付2枚コーキング処理,100,1
右工具箱ブラケットステー腐食部分製作切替溶接1本,ステー,溶接,右,工具箱ブラケット腐食部分製作切替1本,100,1
ボルト２本取替加工,,取替,,ボルト２本加工,40,1
右工具箱脱着,,脱着,右,工具箱,60,1
錆落とし,,,,,0,1
ブラケット腐食部分製作切断取替加工溶接２本,ブラケット,取替,,腐食部分製作切断加工溶接２本,80,1
左右泥除けゴム2枚取替,ゴム,取替,左,右泥除け2枚,100,1
