work_item,target,action,position,other,confidence,frequency
修正加工,,加工,,修正,40,1
左右サイドガード腐食部12カ所切替加工,ガード,加工,左,右サイド腐食部12カ所切替,100,1
DPFマフラー折れ込みボルト4本取外し,,,外,DPFマフラー折れ込みボルト4本取し,20,1
社外品タンクバンド２本,タンク,,外,社品バンド２本,60,1
天井周りコーキング,,,,,0,1
リヤナンバー灯穴掘り取替加工,,取替,,リヤナンバー灯穴掘り加工,40,1
メンバー亀裂9カ所,メンバー,,,亀裂9カ所,40,1
左右乗降ハンドル切断仕上げ,ハンドル,切断,左,右乗降仕上げ,100,1
センタースロットルガイドレール脱着鈑金,レール,脱着,センター,スロットルガイド鈑金,100,1
タイコマフラー折損修正溶接,,溶接,,タイコマフラー折損修正,40,1
左後ろコーナーキャスティング取替加工,,取替,左,後ろコーナーキャスティング加工,60,1
左サイドガード切替加工溶接1本,ガード,溶接,左,サイド切替加工1本,100,1
塗装2色,,塗装,,2色,40,1
ステン8ミリボルトASSY20本,,,,,0,1
右コーナーパネル脱着修正,パネル,脱着,右,コーナー修正,100,1
ブラケット2本取替,ブラケット,取替,,2本,80,1
カーゴロック取替加工,,取替,,カーゴロック加工,40,1
歯止め入れスプリング修理,,修理,,歯止め入れスプリング,40,1
ダンパー,,,,,0,1
リンクブッシュ交換,,交換,,リンクブッシュ,40,1
フロントエアサス交換,,交換,フロント,エアサス,60,1
左バックランプステイ製作取替,ランプ,取替,左,バックステイ製作,100,1
リヤキャブサスベローズ左右交換,,交換,左,リヤキャブサスベローズ右,60,1
左後ろキャッチ取替,キャッチ,取替,左,後ろ,100,1
左ステンフェンダー研磨仕上げ,フェンダー,研磨,左,ステン仕上げ,100,1
センタービーム前後2ヵ所修正折損ボルト取替加工,,取替,前,センタービーム後2ヵ所修正折損ボルト加工,60,1
タンク木箱解体作業,タンク,,,木箱解体作業,40,1
右リヤ枠骨切断鈑金,,切断,右,リヤ枠骨鈑金,60,1
観音扉コーナーガード脱着鈑金,ガード,脱着,,観音扉コーナー鈑金,80,1
左リヤフェンダー脱着ブラケット折損修正溶接,フェンダー,脱着,左,リヤブラケット折損修正溶接,100,1
チャージパイプ4本取り外し,パイプ,取り外し,外,チャージ4本取りし,100,1
2本取替,,取替,,2本,40,1
ステイ4本取替,,取替,,ステイ4本,40,1
キャブサスベローズ左右取替,,取替,左,キャブサスベローズ右,60,1
サイレンサー2枚,,,,,0,1
前側ステイ脱着折損修正補強取付溶接,,脱着,前,側ステイ折損修正補強取付溶接,60,1
1階右フロアー可動パネルクッションゴム取り付け部製作加工,パネル,製作,右,1階フロアー可動クッションゴム取り付け部加工,100,1
L曲げ補強製作取付加工溶接2ヵ所,,溶接,,L曲げ補強製作取付加工2ヵ所,40,1
左サンドシュー分解鈑金,,鈑金,左,サンドシュー分解,60,1
中板,,,,,0,1
右フロント泥よけエプロン脱着曲がり修正,,脱着,右,フロント泥よけエプロン曲がり修正,60,1
エンジンカバーステイ修正,カバー,修正,,エンジンステイ,80,1
天井周りコーキング処理,,,,,0,1
左側ステイ取替,,取替,左,側ステイ,60,1
左右当たりゴム取外し加工,ゴム,加工,左,右当たり取外し,100,1
ドライバーシートリクライニング取替,シート,取替,,ドライバーリクライニング,80,1
右アッパーフェンダー取替,フェンダー,取替,右,アッパー,100,1
コンテナロックガード取替,ガード,取替,,コンテナロック,80,1
左右リアフェンダー脱着,フェンダー,脱着,左,右リア,100,1
ステー付け替え溶接,ステー,溶接,,付け替え,80,1
右後ろステンウィングキャッチ受け脱着曲がり直し,キャッチ,脱着,右,後ろステンウィング受け曲がり直し,100,1
材料　　トタン,,,,,0,1
木材,,,,,0,1
接着剤,,,,,0,1
ボルト一式,,,,,0,1
左アウトリガー突っ張りステー取替、,ステー,取替,左,アウトリガー突っ張り、,100,1
躍場左アルミ縞板鈑金取付加工,,加工,左,躍場アルミ縞板鈑金取付,60,1
コンデンサーステー鈑金亀裂溶接,ステー,溶接,,コンデンサー鈑金亀裂,80,1
メンバーサポート鈑金亀裂溶接,メンバー,溶接,,サポート鈑金亀裂,80,1
サイドパネル引出し修正,パネル,修正,サイド,引出し,100,1
左フォグランプ取替,ランプ,取替,左,フォグ,100,1
配線,,,,,0,1
センサー付替え,センサー,付替,,え,80,1
