work_item,target,action,position,other,confidence,frequency
床面修正貼付加工,,加工,,床面修正貼付,40,1
左右コボレーン前コーキング処理,,,左,右コボレーン前コーキング処理,20,1
ダンプレバー分解修理,,修理,,ダンプレバー分解,40,1
左バンパーフィニッシャー持込取替,バンパー,取替,左,フィニッシャー持込,100,1
左ヘッドライト持込取替,ライト,取替,左,ヘッド持込,100,1
左フォグランプ持込取替,ランプ,取替,左,フォグ持込,100,1
インナーバンパー応急修理品交換,バンパー,交換,インナー,応急修理品,100,1
フロントショックアブソーバ1本取替,,取替,フロント,ショックアブソーバ1本,60,1
左後ろウィング水切りゴム張替加工,ゴム,加工,左,後ろウィング水切り張替,100,1
プラットホーム脱着,,脱着,,プラットホーム,40,1
反射板脱着加工,反射板,脱着,,加工,80,1
滑り止め張替,,張替,,滑り止め,40,1
鋼板亀裂ステン溶接,鋼板,溶接,,亀裂ステン,80,1
ウィング蝶番センタービーム亀裂点検,ウィング,,センター,蝶番ビーム亀裂点検,60,1
シリンダー点検,,,,,0,1
左右煽りドアヒンジ点検,ドア,,左,右煽りヒンジ点検,60,1
ヒンジボルト取付加工,ヒンジ,加工,,ボルト取付,80,1
左マッドガード交換エプロン付替え,ガード,交換,左,マッドエプロン付替え,100,1
左サイドガードステー折損部修正溶接,ステー,溶接,左,サイドガード折損部修正,100,1
フェンダーカバー交換,フェンダー,交換,,カバー,80,1
フレーム左右穴掘り加工,,加工,左,フレーム右穴掘り,60,1
ジョルダー折損部カット溶接,,溶接,,ジョルダー折損部カット,40,1
ホース交換,ホース,交換,,,80,1
ナンバーブラケット鈑金加工,ブラケット,加工,,ナンバー鈑金,80,1
床板破損部分張替加工,,加工,,床板破損部分張替,40,1
左ショックアブソーバー脱着,,脱着,左,ショックアブソーバー,60,1
リベット取替加工,,取替,,リベット加工,40,1
左フレーム間ハーネス,,,左,フレーム間ハーネス,20,1
パイプ,パイプ,,,,40,1
センサー脱着,センサー,脱着,,,80,1
モーター取替一式,,取替,,モーター一式,40,1
防振ゴム取替,ゴム,取替,,防振,80,1
右前煽りドア持ち込み開閉補助装置取替加工,ドア,取替,右,前煽り持ち込み開閉補助装置加工,100,1
右バンパー部品,バンパー,,右,部品,60,1
右ライト一式交換,ライト,交換,右,一式,100,1
左サイドフロントステンボード脱着,,脱着,左,サイドフロントステンボード,60,1
取付ステー折損部修正ステン溶接,ステー,溶接,,取付折損部修正ステン,80,1
右後ろ煽りドア開閉補助装置持ち込み品取替加工,ドア,取替,右,後ろ煽り開閉補助装置持ち込み品加工,100,1
ライニング8枚取替,,取替,,ライニング8枚,40,1
フロントショックアブソーバー1本取替,,取替,フロント,ショックアブソーバー1本,60,1
左右キャスターストッパー切断切替溶接,,溶接,左,右キャスターストッパー切断切替,60,1
追加タップ留め加工,,加工,,追加タップ留め,40,1
煽りスケット調整,,調整,,煽りスケット,40,1
クロスメンバー亀裂修正溶接,メンバー,溶接,,クロス亀裂修正,80,1
ライニング貼付8枚,,,,,0,1
ライセンスブラケット折損部修正,ブラケット,修正,,ライセンス折損部,80,1
スケット点検,,,,,0,1
タイヤホイールカバー全数脱着,タイヤ,脱着,,ホイールカバー全数,80,1
アンテナ脱着位置替え,,脱着,,アンテナ位置替え,40,1
煽りドア開閉補助装置持ち込み品2個交換,ドア,交換,,煽り開閉補助装置持ち込み品2個,80,1
アーム脱着取替加工,,脱着,,アーム取替加工,40,1
スケット4個取替,,取替,,スケット4個,40,1
ライニング貼付,,,,,0,1
フロントショックアブソーバー切断取替加工,,取替,フロント,ショックアブソーバー切断加工,60,1
コンパネ立てステー穴掘り付替え修理,ステー,修理,,コンパネ立て穴掘り付替え,80,1
左サイドガードステー3本応急修理,ステー,修理,左,サイドガード3本応急,100,1
助手席ドア内張脱着,ドア,脱着,内,助手席張,100,1
アウターハンドル交換,ハンドル,交換,アウター,,100,1
反射板左右入替,反射板,,左,右入替,60,1
ドライバーシートクッション交換,シート,交換,,ドライバークッション,80,1
左ミラーアーム交換,ミラー,交換,左,アーム,100,1
ウィング応急修理,ウィング,修理,,応急,80,1
パイプステー交換,ステー,交換,,パイプ,80,1
タイコマフラー前後ステー脱着吊り下げゴム交換,ステー,脱着,前,タイコマフラー後吊り下げゴム交換,100,1
