name,name_norm,is_active,count,example
取替,取替,true,1898,押えボルト折れ込み取替加工２本
脱着,脱着,true,1135,バッテリー上側踊場縞鋼板脱着曲がり直し
加工,加工,true,927,ストライカー曲がり調整異音止め加工
修正,修正,true,801,補修塗装
溶接,溶接,true,733,ヒーターパイプ応急溶接
取付,取付,true,629,補強リブ制作取付
切断,切断,true,352,右ウイング枠骨ステー腐食部分切断付け替え溶接
曲がり直し,曲がり直し,true,258,バッテリー上側踊場縞鋼板脱着曲がり直し
鈑金,鈑金,true,251,タイコマフラー後ろ差し込み口鈑金
塗装,塗装,true,210,補修塗装
製作,製作,true,197,ブレ止めステー製作取替加工
取外,取外,true,169,右サニーホース取り外し
張替,張替,true,149,右ウイングシート下側脱着張替
点検,点検,true,142,アンダーミラー点検応急貼付
補強,補強,true,131,補強リブ制作取付
調整,調整,true,128,蝶番脱着調整
応急,応急,true,112,ヒーターパイプ応急溶接
貼付,貼付,true,79,アンダーミラー点検応急貼付
組替,組替,true,77,部品組替
分解,分解,true,59,リクライニングシート分解破損部鈑金溶接
リベット打ち,リベット打ち,true,58,リベット打ち換え
打替,打替,true,58,幌骨差込口脱着６ミリリベット打替え
制作,制作,true,48,補強リブ制作取付
錆止め,錆止め,true,47,インナーパネル錆止め塗装
清掃,清掃,true,47,フレーム清掃
リベット,リベット,true,32,幌骨差込口脱着６ミリリベット打替え
応急修理,応急修理,true,32,ボルト折れ込み応急修理
ブッシュ,ブッシュ,true,31,鋼板ブッシュゴム張替加工
グリスアップ,グリスアップ,true,25,ウイング蝶番グリスアップ
タップ,タップ,true,23,タップ掛け
仕上げ,仕上げ,true,21,右ドアー研磨仕上げ
固定,固定,true,20,左右3ヶ所イコライザーロックピン修正ロック切断固定溶接
抜き,抜き,true,19,シート袋水抜き補修
配線,配線,true,15,配線付替
面取り,面取り,true,9,右フェンダーカバー傷面取り仕上
両面テープ,両面テープ,true,7,両面テープ貼替加工
ドリル,ドリル,true,5,5㎜ドリル
研磨,研磨,true,4,ステップ２枚脱着研磨
穴開け,穴開け,true,3,アングル穴開けテーパー加工
異音止め,異音止め,true,1,ストライカー曲がり調整異音止め加工
テープ貼り,テープ貼り,false,2,左サイドガードステン化粧板脱着両面テープ貼り付け
板金,板金,false,2,左観音扉コーナーカバー板金塗装
防振,防振,false,2,防振ゴム取替
養生,養生,false,2,下廻り養生
ダンパー,ダンパー,false,1,ダンパー交換
ビス止め,ビス止め,false,1,左右床板枠修正ビス止め加工
解体,解体,false,1,タンク木箱解体作業
接続,接続,false,1,アルミ接続カバー脱着切断取外し
保護,保護,false,1,左ステンレス　コの字曲げ保護プレート製作取替加工
磨き,磨き,false,1,右ドアー磨き上げ･看板取外し
